"","segment","speaker","onset","MC","offset","time","Annotation","phrase","phrase_number","Annotation_context","phonological_phrasePosition","phonological_wordPosition","phonological_stress","phonological_previous_segment","phonological_following_vowel","location","Previous_segment_type","Previous_segment_advancement","Previous_segment_height","intervocalic","Gender","Speaker_acoustic","previous","Segment_acoustic","following","onset_time","offset_time","dur","previousWord","word","followingWord","wordOnset","wordOffset","wordDur","previous_segs","following_segs","previous_source_segments","previous_phonological_segments","previous_type_segments","previous_manner_segments","previous_place_segments","previous_majorplace_segments","previous_voicing_segments","previous_rounding_segments","segment_source_segments","segment_phonological_segments","segment_type_segments","segment_manner_segments","segment_place_segments","segment_majorplace_segments","segment_voicing_segments","segment_rounding_segments","following_source_segments","following_phonological_segments","following_manner_segments","following_place_segments","following_majorplace_segments","following_voicing_segments","following_rounding_segments","speaker_count","f1","f2","f3","cog","cog_FricationPortion","closure_start_MFA","closure_start_PRAAT","release_start","frication_start","frication_end","closure_duration_automatic","closure_duration","release_duration","frication_duration","vot","Prev_Segment_acoustic","Foll_Segment_acoustic"
"21","tS","CAN1","onset",NA,NA,1.509,"Str_o#tSa_1","cuatro chapas de botella",15,"o#tSa_1","Phrase Medial","Word Initial","Stressed","o","a","CAN","Vowel","Back","Mid",1,"Male","CAN1_18_0","o","tʃ","a",0.7501,0.8701,0.12,"cuatro","chapas","de",0.7501,1.1701,0.42,"o","a","o","o","vowel","mid","back","BACK","voiced","rounded","C","C","consonant","affricate","palatal","CORONAL","unvoiced","NotAp","a","a","low","central","CENTRAL","voiced","unrounded",7,NA,NA,NA,468.472532740103,676.618154275469,0.7501,0.834113378684807,0.8701,0.8701,0.8701,0.12,0.0359866213151926,0,0,-0.0361,"o","a"
"22","tS","CAN1",NA,NA,NA,1.5392,"Str_o#tSa_1","cuatro chapas de botella",15,"o#tSa_1","Phrase Medial","Word Initial","Stressed","o","a","CAN","Vowel","Back","Mid",1,"Male","CAN1_18_0","o","tʃ","a",0.7501,0.8701,0.12,"cuatro","chapas","de",0.7501,1.1701,0.42,"o","a","o","o","vowel","mid","back","BACK","voiced","rounded","C","C","consonant","affricate","palatal","CORONAL","unvoiced","NotAp","a","a","low","central","CENTRAL","voiced","unrounded",7,NA,NA,NA,468.472532740103,676.618154275469,0.7501,0.834113378684807,0.8701,0.8701,0.8701,0.12,0.0359866213151926,0,0,-0.0361,"o","a"
"23","tS","CAN1",NA,"MC",NA,1.5695,"Str_o#tSa_1","cuatro chapas de botella",15,"o#tSa_1","Phrase Medial","Word Initial","Stressed","o","a","CAN","Vowel","Back","Mid",1,"Male","CAN1_18_0","o","tʃ","a",0.7501,0.8701,0.12,"cuatro","chapas","de",0.7501,1.1701,0.42,"o","a","o","o","vowel","mid","back","BACK","voiced","rounded","C","C","consonant","affricate","palatal","CORONAL","unvoiced","NotAp","a","a","low","central","CENTRAL","voiced","unrounded",7,NA,NA,NA,468.472532740103,676.618154275469,0.7501,0.834113378684807,0.8701,0.8701,0.8701,0.12,0.0359866213151926,0,0,-0.0361,"o","a"
"24","tS","CAN1",NA,NA,NA,1.5997,"Str_o#tSa_1","cuatro chapas de botella",15,"o#tSa_1","Phrase Medial","Word Initial","Stressed","o","a","CAN","Vowel","Back","Mid",1,"Male","CAN1_18_0","o","tʃ","a",0.7501,0.8701,0.12,"cuatro","chapas","de",0.7501,1.1701,0.42,"o","a","o","o","vowel","mid","back","BACK","voiced","rounded","C","C","consonant","affricate","palatal","CORONAL","unvoiced","NotAp","a","a","low","central","CENTRAL","voiced","unrounded",7,NA,NA,NA,468.472532740103,676.618154275469,0.7501,0.834113378684807,0.8701,0.8701,0.8701,0.12,0.0359866213151926,0,0,-0.0361,"o","a"
"25","tS","CAN1",NA,NA,"offset",1.63,"Str_o#tSa_1","cuatro chapas de botella",15,"o#tSa_1","Phrase Medial","Word Initial","Stressed","o","a","CAN","Vowel","Back","Mid",1,"Male","CAN1_18_0","o","tʃ","a",0.7501,0.8701,0.12,"cuatro","chapas","de",0.7501,1.1701,0.42,"o","a","o","o","vowel","mid","back","BACK","voiced","rounded","C","C","consonant","affricate","palatal","CORONAL","unvoiced","NotAp","a","a","low","central","CENTRAL","voiced","unrounded",7,NA,NA,NA,468.472532740103,676.618154275469,0.7501,0.834113378684807,0.8701,0.8701,0.8701,0.12,0.0359866213151926,0,0,-0.0361,"o","a"
"26","tS","CAN1","onset",NA,NA,1.494,"Str_o#tSa_2","cuatro chapas de botella",15,"o#tSa_2","Phrase Medial","Word Initial","Stressed","o","a","CAN","Vowel","Back","Mid",1,"Male","CAN1_18_1","o","tʃ","a",1.4901,1.6101,0.12,"cuatro","chapas","de",1.4901,1.8501,0.36,"o","a","o","o","vowel","mid","back","BACK","voiced","rounded","C","C","consonant","affricate","palatal","CORONAL","unvoiced","NotAp","a","a","low","central","CENTRAL","voiced","unrounded",16,NA,NA,NA,755.748699974836,3714.79058725407,1.4901,1.56701607734752,1.57411337868481,1.57411337868481,1.6101,0.0840133786848074,0.00709730133728748,0,0.0359866213151927,NA,"o","a"
"27","tS","CAN1",NA,NA,NA,1.509,"Str_o#tSa_2","cuatro chapas de botella",15,"o#tSa_2","Phrase Medial","Word Initial","Stressed","o","a","CAN","Vowel","Back","Mid",1,"Male","CAN1_18_1","o","tʃ","a",1.4901,1.6101,0.12,"cuatro","chapas","de",1.4901,1.8501,0.36,"o","a","o","o","vowel","mid","back","BACK","voiced","rounded","C","C","consonant","affricate","palatal","CORONAL","unvoiced","NotAp","a","a","low","central","CENTRAL","voiced","unrounded",16,NA,NA,NA,755.748699974836,3714.79058725407,1.4901,1.56701607734752,1.57411337868481,1.57411337868481,1.6101,0.0840133786848074,0.00709730133728748,0,0.0359866213151927,NA,"o","a"
"28","tS","CAN1",NA,"MC",NA,1.524,"Str_o#tSa_2","cuatro chapas de botella",15,"o#tSa_2","Phrase Medial","Word Initial","Stressed","o","a","CAN","Vowel","Back","Mid",1,"Male","CAN1_18_1","o","tʃ","a",1.4901,1.6101,0.12,"cuatro","chapas","de",1.4901,1.8501,0.36,"o","a","o","o","vowel","mid","back","BACK","voiced","rounded","C","C","consonant","affricate","palatal","CORONAL","unvoiced","NotAp","a","a","low","central","CENTRAL","voiced","unrounded",16,NA,NA,NA,755.748699974836,3714.79058725407,1.4901,1.56701607734752,1.57411337868481,1.57411337868481,1.6101,0.0840133786848074,0.00709730133728748,0,0.0359866213151927,NA,"o","a"
"29","tS","CAN1",NA,NA,NA,1.539,"Str_o#tSa_2","cuatro chapas de botella",15,"o#tSa_2","Phrase Medial","Word Initial","Stressed","o","a","CAN","Vowel","Back","Mid",1,"Male","CAN1_18_1","o","tʃ","a",1.4901,1.6101,0.12,"cuatro","chapas","de",1.4901,1.8501,0.36,"o","a","o","o","vowel","mid","back","BACK","voiced","rounded","C","C","consonant","affricate","palatal","CORONAL","unvoiced","NotAp","a","a","low","central","CENTRAL","voiced","unrounded",16,NA,NA,NA,755.748699974836,3714.79058725407,1.4901,1.56701607734752,1.57411337868481,1.57411337868481,1.6101,0.0840133786848074,0.00709730133728748,0,0.0359866213151927,NA,"o","a"
"30","tS","CAN1",NA,NA,"offset",1.554,"Str_o#tSa_2","cuatro chapas de botella",15,"o#tSa_2","Phrase Medial","Word Initial","Stressed","o","a","CAN","Vowel","Back","Mid",1,"Male","CAN1_18_1","o","tʃ","a",1.4901,1.6101,0.12,"cuatro","chapas","de",1.4901,1.8501,0.36,"o","a","o","o","vowel","mid","back","BACK","voiced","rounded","C","C","consonant","affricate","palatal","CORONAL","unvoiced","NotAp","a","a","low","central","CENTRAL","voiced","unrounded",16,NA,NA,NA,755.748699974836,3714.79058725407,1.4901,1.56701607734752,1.57411337868481,1.57411337868481,1.6101,0.0840133786848074,0.00709730133728748,0,0.0359866213151927,NA,"o","a"
